Game 88, Avg Cost: 0.844, Last cost: 0.844, Turns:  89, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum:  -2, Val: -0.0815, lr_factor: 0.956
Game 89, Avg Cost: 0.825, Last cost: 0.825, Turns:  66, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:  -1, Val:  0.0915, lr_factor: 0.957
Game 90, Avg Cost: 0.707, Last cost: 0.707, Turns: 262, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:   4, Val:  0.1591, lr_factor: 0.946
Game 91, Avg Cost: 0.903, Last cost: 0.903, Turns: 178, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:   9, Val:  0.0499, lr_factor: 0.936
Game 92, Avg Cost: 0.053, Last cost: 0.053, Turns: 343, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -10, Val: -0.2306, lr_factor: 0.126
Game 93, Avg Cost: 0.002, Last cost: 0.002, Turns: 448, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -6, Val: -0.0403, lr_factor: 0.125
Game 94, Avg Cost: 0.796, Last cost: 0.796, Turns: 117, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum:   4, Val: -0.1077, lr_factor: 0.948
Game 95, Avg Cost: 0.024, Last cost: 0.024, Turns: 285, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.1534, lr_factor: 0.133
Game 96, Avg Cost: 0.008, Last cost: 0.008, Turns: 261, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   2, Val:  0.0891, lr_factor: 0.131
Game 97, Avg Cost: 0.260, Last cost: 0.260, Turns: 304, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.5096, lr_factor: 0.130
Game 98, Avg Cost: 0.053, Last cost: 0.053, Turns: 270, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   9, Val:  0.2305, lr_factor: 0.129
Game 99, Avg Cost: 1.115, Last cost: 1.115, Turns:  75, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum:   7, Val:  0.0558, lr_factor: 0.941
Game 100, Avg Cost: 0.027, Last cost: 0.027, Turns: 370, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  14, Val:  0.1651, lr_factor: 0.136
Game 101, Avg Cost: 0.002, Last cost: 0.002, Turns: 343, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.0476, lr_factor: 0.135
Game 102, Avg Cost: 0.000, Last cost: 0.000, Turns: 324, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val:  0.0212, lr_factor: 0.133
Game 103, Avg Cost: 0.017, Last cost: 0.017, Turns: 355, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val: -0.1322, lr_factor: 0.132
Game 104, Avg Cost: 0.000, Last cost: 0.000, Turns: 372, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val:  0.0215, lr_factor: 0.131
Game 105, Avg Cost: 0.111, Last cost: 0.111, Turns: 407, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.3328, lr_factor: 0.130
Game 106, Avg Cost: 1.185, Last cost: 1.185, Turns: 144, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:  -7, Val: -0.0887, lr_factor: 0.936
Game 107, Avg Cost: 0.083, Last cost: 0.083, Turns: 353, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -1, Val: -0.2877, lr_factor: 0.136
Game 108, Avg Cost: 0.035, Last cost: 0.035, Turns: 228, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   5, Val:  0.1883, lr_factor: 0.135
Game 109, Avg Cost: 0.081, Last cost: 0.081, Turns: 218, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val:  0.2853, lr_factor: 0.134
Game 110, Avg Cost: 0.109, Last cost: 0.109, Turns: 357, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -1, Val: -0.3305, lr_factor: 0.133
Game 111, Avg Cost: 0.015, Last cost: 0.015, Turns: 262, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val:  0.1238, lr_factor: 0.132
Game 112, Avg Cost: 0.012, Last cost: 0.012, Turns: 280, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -6, Val: -0.1095, lr_factor: 0.130
Game 113, Avg Cost: 0.003, Last cost: 0.003, Turns: 362, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val: -0.0517, lr_factor: 0.129
Game 114, Avg Cost: 0.032, Last cost: 0.032, Turns: 273, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -8, Val: -0.1785, lr_factor: 0.128
Game 115, Avg Cost: 0.201, Last cost: 0.201, Turns: 345, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -10, Val: -0.4482, lr_factor: 0.127
Game 116, Avg Cost: 0.000, Last cost: 0.000, Turns: 322, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   6, Val:  0.0153, lr_factor: 0.126
Game 117, Avg Cost: 1.075, Last cost: 1.075, Turns: 115, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -10, Val:  0.0366, lr_factor: 0.942
Game 118, Avg Cost: 0.017, Last cost: 0.017, Turns: 381, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.1305, lr_factor: 0.132
Game 119, Avg Cost: 0.024, Last cost: 0.024, Turns: 324, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -1, Val:  0.1541, lr_factor: 0.131
Game 120, Avg Cost: 0.001, Last cost: 0.001, Turns: 274, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val: -0.0364, lr_factor: 0.130
Game 121, Avg Cost: 1.167, Last cost: 1.167, Turns:  93, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -10, Val:  0.0804, lr_factor: 0.935
Game 122, Avg Cost: 0.021, Last cost: 0.021, Turns: 333, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -12, Val: -0.1449, lr_factor: 0.136
Game 123, Avg Cost: 0.064, Last cost: 0.064, Turns: 297, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -6, Val: -0.2530, lr_factor: 0.135
Game 124, Avg Cost: 0.693, Last cost: 0.693, Turns: 241, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -16, Val: -0.1678, lr_factor: 0.929
Game 125, Avg Cost: 0.122, Last cost: 0.122, Turns: 375, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val: -0.3497, lr_factor: 0.141
Game 126, Avg Cost: 0.000, Last cost: 0.000, Turns: 232, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -11, Val: -0.0157, lr_factor: 0.140
Game 127, Avg Cost: 0.022, Last cost: 0.022, Turns: 350, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.1468, lr_factor: 0.138
Game 128, Avg Cost: 0.134, Last cost: 0.134, Turns: 241, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   5, Val: -0.3660, lr_factor: 0.137
Game 129, Avg Cost: 0.071, Last cost: 0.071, Turns: 312, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val: -0.2670, lr_factor: 0.136
Game 130, Avg Cost: 0.047, Last cost: 0.047, Turns: 363, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val: -0.2167, lr_factor: 0.135
Game 131, Avg Cost: 0.363, Last cost: 0.363, Turns: 487, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.6022, lr_factor: 0.134
